id,name,type,production,year,sex,birth,ethnicity,frequency
54,54,0,1,2,99,99,99,99
300,300,0,5,3,99,99,99,99
102Dalmatians,102 Dalmatians,0,5,3,99,99,99,99
10DaysToDie,10 Days to Die ,0,5,4,99,99,99,99
12AndHolding,12 and Holding,0,5,3,99,99,99,99
12YearsASlave,12 Years a Slave,0,5,4,99,99,99,99
13FrenchStreet,13 French Street ,0,5,3,99,99,99,99
1stToDie,1st to Die,0,5,3,99,99,99,99
2047SightsOfDeath,2047: Sights of Death,0,5,4,99,99,99,99
26Candles,26 Candles,0,5,4,99,99,99,99
300RiseOfAnEmpire,300: Rise of an Empire,0,5,4,99,99,99,99
30Beats,30 Beats,0,5,4,99,99,99,99
30DoorKey,30 Door Key,0,5,2,99,99,99,99
388ArlettaAvenue,388 Arletta Avenue,0,5,4,99,99,99,99
3DaysToKill,3 Days to Kill,0,5,4,99,99,99,99
40DaysAnd40Nights,40 Days and 40 Nights,0,1,3,99,99,99,99
444LastDayOnEarth,4:44 Last Day on Earth,0,5,4,99,99,99,99
4Got10,4Got10,0,5,4,99,99,99,99
500DaysOfSummer,(500) Days of Summer,0,5,3,99,99,99,99
5up2down,5up 2down,0,5,3,99,99,99,99
6BelowMiracleOnTheMountain,6 Below Miracle on the Mountain,0,5,4,99,99,99,99
8MillionWaysToDie,8 Million Ways to Die,0,5,1,99,99,99,99
Abandoned,Abandoned,0,5,4,99,99,99,99
AbductedFugitiveForLove,Abducted: Fugitive for Love,0,5,3,99,99,99,99
Aberdeen,Aberdeen,0,5,3,99,99,99,99
ABetterWayToDie,A Better Way to Die,0,5,3,99,99,99,99
AboveSuspicion,Above Suspicion,0,5,3,99,99,99,99
ABrilliantDisguise,A Brilliant Disguise,0,5,2,99,99,99,99
AbsolutelyAnything,Absolutely Anything,0,5,4,99,99,99,99
AccordingToSpencer,According to Spencer,0,5,3,99,99,99,99
AceVenturaPetDetective,Ace Ventura: Pet Detective,0,5,2,99,99,99,99
AChristmasToRemember,A Christmas to Remember,0,5,4,99,99,99,99
AClosedBook,A Closed Book,0,5,3,99,99,99,99
ACountryWedding,A Country Wedding,0,5,4,99,99,99,99
AcrossTheUniverse,Across the Universe,0,5,3,99,99,99,99
ActLikeALimeyThinkLikeAYank,"Act Like a Limey, Think Like a Yank",0,5,4,99,99,99,99
AdamGreensAladdin,Adam Greens Aladdin,0,5,4,99,99,99,99
AddamsFamilyReunion,Addams Family Reunion,0,5,2,99,99,99,99
ADemainSansFaute,À demain sans faute,0,5,4,99,99,99,99
ADogAndPonyShow,A Dog and Pony Show,0,5,4,99,99,99,99
AdrenalinFearTheRush,Adrenalin: Fear the Rush,0,5,2,99,99,99,99
Affairplay,Affair play,0,5,2,99,99,99,99
AfterHours,After Hours,0,5,1,99,99,99,99
Aftermath,Aftermath,0,5,3,99,99,99,99
AfterTheBall,After the Ball,0,5,4,99,99,99,99
AfterTheSunset,After the Sunset,0,5,3,99,99,99,99
AgainsTheWild,Against the Wild,0,5,4,99,99,99,99
AgentCrush,Agent Crush,0,5,3,99,99,99,99
AGhostinMonteCarlo,A Ghost in Monte Carlo,0,5,2,99,99,99,99
AGirlThreeGuysAndAGun,"A Girl, Three Guys, and a Gun",0,5,3,99,99,99,99
AGreenStory,A Green Story,0,5,4,99,99,99,99
AGuyThing,A Guy Thing,0,5,3,99,99,99,99
AimyInACage,Aimy in a Cage,0,5,4,99,99,99,99
AJewishChristmasStory,A Jewish Christmas Story,0,5,2,99,99,99,99
AJobToKillFor,A Job to Kill For ,0,5,3,99,99,99,99
AKillerWithin,A Killer Within,0,5,3,99,99,99,99
AKissBeforeDying,A Kiss Before Dying,0,3,2,99,99,99,99
AlbertSchweitzer,Albert Schweitzer,0,5,3,99,99,99,99
Alexander,Alexander,0,5,3,99,99,99,99
AliandNino,Ali and Nino,0,5,4,99,99,99,99
AliceThroughTheLookingGlass,Alice Through the Looking Glass,0,5,2,99,99,99,99
AlienCrystalPalace,Alien Crystal Palace,0,5,4,99,99,99,99
AllAboutE,All About E,0,5,4,99,99,99,99
Allegiant,Allegiant,0,5,4,99,99,99,99
AllIWantForChristmas,All I Want For Christmas,0,5,4,99,99,99,99
AllOverMe,All Over Me ,0,5,2,99,99,99,99
AllRelative,All Relative,0,5,4,99,99,99,99
AllTheGoodOnesAreMarried,All the Good Ones Are Married,0,5,3,99,99,99,99
AloneInTheDark2,Alone in the Dark II,0,5,3,99,99,99,99
ALongWayHome,A Long Way Home,0,5,1,99,99,99,99
Alpha,Alpha,0,5,4,99,99,99,99
AlreadyDead,Already Dead,0,5,3,99,99,99,99
AlteredStates,Altered States,0,5,1,99,99,99,99
Alto,Alto,0,5,4,99,99,99,99
AmazingGrace,Amazing Grace,0,5,3,99,99,99,99
AmazonWomenOntheMoon,Amazon Women on the Moon,0,3,1,99,99,99,99
Americana,Americana,0,5,4,99,99,99,99
AmericanCrime,American Crime,0,5,3,99,99,99,99
AmericanDad,American Dad,0,5,4,99,99,99,99
AmericanDaylight,American Daylight,0,5,3,99,99,99,99
AmericanEast,AmericanEast,0,5,3,99,99,99,99
Americano,Americano,0,5,4,99,99,99,99
AmericanPie,American Pie,0,3,2,99,99,99,99
AMidsummerNightsDream,A Midsummer Night's Dream,0,5,4,99,99,99,99
AMightyHeart,A Mighty Heart,0,4,3,99,99,99,99
AmongstFriends,Amongst Friends,0,5,2,99,99,99,99
AMonthByTheLake,A Month by the Lake,0,1,2,99,99,99,99
AMuppetsChristmasLettersToSanta,A Muppets Christmas: Letters to Santa,0,5,3,99,99,99,99
Anamorph,Anamorph,0,5,3,99,99,99,99
AnatomyOfDeception,Anatomy of Deception,0,5,4,99,99,99,99
Anazapta,Anazapta,0,5,3,99,99,99,99
AndersonAmber,Amber Anderson,1,99,99,1,5,2,1
Angel,Angel,0,5,3,99,99,99,99
AngelsCrest,Angels Crest,0,5,4,99,99,99,99
AnLAMinute,An L.A. Minute,0,5,4,99,99,99,99
AnnaKarenina1997,Anna Karenina (1997),0,5,2,99,99,99,99
